ICAO	Latitude	Longitude
EDQY	0.000	0.000
EDQZ	0.000	0.000
EDRA	0.000	0.000
EDRD	0.000	0.000
EDRF	0.000	0.000
EDRG	0.000	0.000
EDRH	0.000	0.000
EDRI	0.000	0.000
EDRJ	0.000	0.000
EDRK	50.325	7.531
EDRL	0.000	0.000
EDRM	0.000	0.000
EDRN	0.000	0.000
EDRO	0.000	0.000
EDRP	0.000	0.000
EDRS	0.000	0.000
EDRT	49.863	6.789
EDRW	0.000	0.000
EDRY	49.302	8.451
EDRZ	49.209	7.401
EDSA	0.000	0.000
EDSH	0.000	0.000
EDSI	0.000	0.000
EDSK	0.000	0.000
EDSL	0.000	0.000
EDSW	0.000	0.000
EDSZ	0.000	0.000
EDTB	48.791	8.187
EDTC	0.000	0.000
EDTD	47.973	8.522
EDTF	48.020	7.834
EDTH	0.000	0.000
EDTK	48.982	8.333
EDTM	48.054	9.373
EDTN	0.000	0.000
EDTO	0.000	0.000
EDTP	0.000	0.000
EDTR	0.000	0.000
EDTS	0.000	0.000
EDTU	0.000	0.000
EDTW	0.000	0.000
EDTX	0.000	0.000
EDTY	49.118	9.777
EDTZ	0.000	0.000
EDUH	0.000	0.000
EDUS	51.608	13.738
EDUU	0.000	0.000
EDVA	0.000	0.000
EDVB	0.000	0.000
EDVC	0.000	0.000
EDVE	52.319	10.556
EDVF	0.000	0.000
EDVG	0.000	0.000
EDVH	0.000	0.000
EDVI	0.000	0.000
EDVK	51.408	9.378
EDVL	0.000	0.000
EDVM	52.177	9.946
EDVN	0.000	0.000
EDVP	0.000	0.000
EDVR	0.000	0.000
EDVS	0.000	0.000
EDVU	0.000	0.000
EDVV	0.000	0.000
EDVW	0.000	0.000
EDVX	0.000	0.000
EDVY	0.000	0.000
EDVZ	0.000	0.000
EDWA	0.000	0.000
EDWB	53.503	8.573
EDWC	0.000	0.000
EDWD	53.143	8.623
EDWE	53.391	7.227
EDWF	53.272	7.443
EDWG	0.000	0.000
EDWH	0.000	0.000
EDWI	53.505	8.053
EDWJ	0.000	0.000
EDWK	0.000	0.000
EDWL	0.000	0.000
EDWM	0.000	0.000
EDWN	0.000	0.000
EDWO	0.000	0.000
EDWP	0.000	0.000
EDWQ	0.000	0.000
EDWR	53.595	6.709
EDWS	0.000	0.000
EDWT	0.000	0.000
EDWU	0.000	0.000
EDWV	0.000	0.000
EDWW	0.000	0.000
EDWX	0.000	0.000
EDWY	53.707	7.230
EDWZ	0.000	0.000
EDXA	0.000	0.000
