ICAO,IATA,NOM,TAILLE,PAYS,CITE
SSFB,FBE,Francisco Beltrão,Smallairport, Brazil, Francisco Beltrão
KFBG,FBG,Simmons Army Air Field,Mediumairport, United States, Fort Bragg
PAFB,FBK,Ladd AAF Airfield,Mediumairport, United States, Fairbanks/Ft Wainwright
FZQA,FBM,Lubumbashi International,Mediumairport, Congo (Kinshasa), Lubumbashi
KFBR,FBR,Fort Bridger,Smallairport, United States, Fort Bridger
W33,FBS,Friday Harbor,Seaplanebase, United States, Friday Harbor
ENFB,FBU,Kilen,Seaplanebase, Norway,
ENFB,FBU,"Oslo, Fornebu",Closed, Norway, Oslo
KGPI,FCA,Glacier Park International,Mediumairport, United States, Kalispell
FAFB,FCB,Ficksburg Sentraoes,Mediumairport, South Africa, Ficksburg
KFCH,FCH,Fresno Chandler Executive,Smallairport, United States, Fresno
KFCM,FCM,Flying Cloud,Smallairport, United States, Minneapolis
ETMN,FCN,Nordholz Naval Airbase,Mediumairport, Germany, Cuxhaven
LIRF,FCO,Leonardo da Vinci–Fiumicino,Largeairport, Italy, Rome
KFCS,FCS,Butts AAF (Fort Carson) Air Field,Mediumairport, United States, Fort Carson
KFCT,FCT,Vagabond Army,Heliport, United States, Yakima
SKFU,FDA,Fundación,Smallairport, Colombia, Fundación
ENBL,FDE,Førde,Smallairport, Norway, Førde
TFFF,FDF,Martinique Aimé Césaire International,Mediumairport, Martinique, Fort-de-France
EDNY,FDH,Friedrichshafen,Mediumairport, Germany, Friedrichshafen
KFDK,FDK,Frederick Municipal,Smallairport, United States, Frederick
SADF,FDO,San Fernando,Mediumairport, Argentina, San Fernando
FZBO,FDU,Bandundu,Mediumairport, Congo (Kinshasa),
KFDY,FDY,Findlay,Mediumairport, United States, Findlay
,FEA,Fetlar,Smallairport, United Kingdom, Fetlar Island
VNSR,FEB,Sanfebagar,Smallairport, Nepal, Sanfebagar
SBFE,FEC,João Durval Carneiro,Smallairport, Brazil, Feira De Santana
UTFF,FEG,Fergana International,Smallairport, Uzbekistan, Fergana
DIFK,FEK,Ferkessedougou,Smallairport, Côte d'Ivoire, Ferkessedougou
ETSF,FEL,Fürstenfeldbruck,Mediumairport, Germany, Fürstenfeldbruck
SBFN,FEN,Fernando de Noronha,Mediumairport, Brazil, Fernando De Noronha
KFEP,FEP,Albertus,Smallairport, United States, Freeport
KFEW,FEW,Francis E Warren Air Force Base,Heliport, United States, Cheyenne
GMFF,FEZ,Saïss,Mediumairport, Morocco, Fes
KFFA,FFA,First Flight,Smallairport, United States, Kill Devil Hills
EGVA,FFD,RAF Fairford,Largeairport, United Kingdom, Fairford
KFFM,FFM,Fergus Falls Municipal - Einar Mickelson Field,Smallairport, United States, Fergus Falls
KFFO,FFO,Wright-Patterson Air Force Base,Largeairport, United States, Dayton
SCFT,FFU,Futaleufú,Smallairport, Chile, Futaleufu
GQPF,FGD,Fderik,Smallairport, Mauritania, Fderik
NSFI,FGI,Fagali'i,Smallairport, Samoa, Apia
NZFH,FGL,Fox,Heliport, New Zealand, Fox
NTGB,FGU,Fangatau,Mediumairport, French Polynesia,
KFHB,FHB,Fernandina Beach Municipal,Closed, United States, Fernandina Beach
KFHU,FHU,Sierra Vista Municipal Libby Army Air Field,Mediumairport, United States, Fort Huachuca Sierra Vista
NTKH,FHZ,Fakahina,Smallairport, French Polynesia, Fakahina
,FIC,Fire Cove,Closed, United States, Fire Cove
0B8,FID,Elizabeth Field,Smallairport, United States, Fishers Island
EGEF,FIE,Fair Isle,Mediumairport, United Kingdom, Fair Isle
GUFA,FIG,Fria,Smallairport, Guinea, Fria
FZAA,FIH,Ndjili International,Mediumairport, Congo (Kinshasa), Kinshasa
YFNE,FIK,Finke,Smallairport, Australia, Finke
KFOM,FIL,Fillmore Municipal,Smallairport, United States, Fillmore
